# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 6114978709
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    57.27%  sqgi     sqgi                          [.] SQVM::Execute
     3.57%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.98%  sqgi     sqgi                          [.] SQTable::Get
     2.83%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.38%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     2.16%  sqgi     sqgi                          [.] sqjit_try_execute_current
     1.86%  sqgi     sqgi                          [.] SQVM::Return
     1.71%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.71%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     1.71%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     1.26%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     1.12%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     1.04%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.97%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.74%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.67%  sqgi     sqgi                          [.] sqjit_on_function_enter
     0.67%  sqgi     sqgi                          [.] sqjit_a64_helper_array_set_float_logged
     0.66%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     0.60%  sqgi     sqgi                          [.] SQVM::StartCall
     0.60%  sqgi     [JIT] tid 560127              [.] 0x0000ffffae5d62e0
     0.60%  sqgi     sqgi                          [.] SQJitWriteLog::RecordArray
     0.52%  sqgi     [JIT] tid 560127              [.] 0x0000ffffae5d63c8


#
# (Cannot load tips.txt file, please install perf!)
#
