# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 8785720041
#
# Overhead  Command  Shared Object                 Symbol                                            
# ........  .......  ............................  ..................................................
#
    44.27%  sqgi     sqgi                          [.] SQVM::Execute
    10.89%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     5.63%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     4.82%  sqgi     sqgi                          [.] sqjit_try_execute_current
     2.79%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     2.28%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.28%  sqgi     sqgi                          [.] SQVM::Return
     2.18%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     2.01%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     1.97%  sqgi     sqgi                          [.] SQVM::StartCall
     1.97%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     1.63%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     1.45%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.19%  sqgi     sqgi                          [.] sqjit_on_function_enter
     1.14%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     1.09%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     1.04%  sqgi     sqgi                          [.] sqjit_context
     0.83%  sqgi     sqgi                          [.] sqjit_native_call_fits_stack
     0.78%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     0.73%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.67%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.67%  sqgi     sqgi                          [.] sqjit_proto_backoff_active
     0.62%  sqgi     sqgi                          [.] sqjit_native_precheck


#
# (Cannot load tips.txt file, please install perf!)
#
