# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 7065224981
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    13.68%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)1, false>
    11.49%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     7.03%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     5.67%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     5.64%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     5.27%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     4.77%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     3.74%  sqgi     sqgi                          [.] SQVM::ObjCmp
     2.51%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)2, false>
     1.80%  sqgi     [JIT] tid 560188              [.] 0x0000ffff957b61a4
     1.42%  sqgi     sqgi                          [.] SQVM::CMP_OP
     1.03%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.97%  sqgi     [JIT] tid 560188              [.] 0x0000ffff957b5334
     0.90%  sqgi     [JIT] tid 560188              [.] 0x0000ffff957b53a0
     0.84%  sqgi     [JIT] tid 560188              [.] 0x0000ffff957b56c4
     0.65%  sqgi     [JIT] tid 560188              [.] 0x0000ffff957b551c
     0.64%  sqgi     [JIT] tid 560188              [.] 0x0000ffff957b5ec0
     0.58%  sqgi     [JIT] tid 560188              [.] 0x0000ffff957b53b0
     0.58%  sqgi     [JIT] tid 560188              [.] 0x0000ffff957b5d00
     0.52%  sqgi     [JIT] tid 560188              [.] 0x0000ffff957b5ed0
     0.52%  sqgi     [JIT] tid 560188              [.] 0x0000ffff957b53f8
     0.52%  sqgi     [JIT] tid 560188              [.] 0x0000ffff957b56d4


#
# (Cannot load tips.txt file, please install perf!)
#
