# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 224  of event 'cycles:u'
# Event count (approx.): 868053096
#
# Overhead  Command  Shared Object                 Symbol                                                
# ........  .......  ............................  ......................................................
#
    11.26%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
    10.66%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
    10.24%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
     9.95%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     7.87%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_reference_logged
     7.83%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     6.30%  sqgi     sqgi                          [.] sqjit_a64_resolve_root_store_slot
     2.62%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96624268
     2.53%  sqgi     sqgi                          [.] sqjit_a64_helper_instance_field_set_integer_logged
     2.31%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96626210
     2.10%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96623220
     2.10%  sqgi     [JIT] tid 560105              [.] 0x0000ffff966231bc
     1.57%  sqgi     [JIT] tid 560105              [.] 0x0000ffff9662418c
     1.57%  sqgi     sqgi                          [.] sqjit_write_log_ensure
     1.57%  sqgi     [JIT] tid 560105              [.] 0x0000ffff966251d8
     1.05%  sqgi     [JIT] tid 560105              [.] 0x0000ffff9662425c
     1.05%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96624280
     1.05%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96625224
     1.05%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96626238
     1.05%  sqgi     sqgi                          [.] SQJitWriteLog::OwnerBucket
     0.53%  sqgi     libgirepository-1.0.so.1.0.0  [.] g_function_info_get_symbol
     0.53%  sqgi     [JIT] tid 560105              [.] 0x0000ffff966241bc
     0.53%  sqgi     [JIT] tid 560105              [.] 0x0000ffff966231fc
     0.53%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96623208
     0.53%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96625190
     0.53%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96624194
     0.52%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96624250
     0.52%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96623154
     0.52%  sqgi     sqgi                          [.] SQStringTable::Remove
     0.52%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96623190
     0.52%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96623130
     0.52%  sqgi     [JIT] tid 560105              [.] 0x0000ffff966241e0
     0.52%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96625194
     0.52%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96625170
     0.52%  sqgi     [JIT] tid 560105              [.] 0x0000ffff9662514c
     0.52%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96624224
     0.52%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96626190
     0.52%  sqgi     [JIT] tid 560105              [.] 0x0000ffff9662620c
     0.52%  sqgi     [JIT] tid 560105              [.] 0x0000ffff966251ac
     0.52%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96623178
     0.52%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96626170
     0.52%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96626270
     0.50%  sqgi     [JIT] tid 560105              [.] 0x0000ffff96626120


#
# (Cannot load tips.txt file, please install perf!)
#
