# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 580  of event 'cycles:u'
# Event count (approx.): 2496162112
#
# Overhead  Command  Shared Object          Symbol                                        
# ........  .......  .....................  ..............................................
#
    14.70%  sqgi     sqgi                   [.] SQVM::Execute
    12.68%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
     6.38%  sqgi     sqgi                   [.] SQTable::Get
     5.95%  sqgi     sqgi                   [.] sqjit_a64_helper_array_get_object
     3.94%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
     3.82%  sqgi     sqgi                   [.] sqjit_a64_root_fallback_safe
     3.59%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     2.36%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     2.33%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa74214
     1.79%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa772dc
     1.64%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa743b0
     1.26%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa741a0
     1.09%  sqgi     sqgi                   [.] SQVM::Get
     1.03%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa742f0
     0.91%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.91%  sqgi     sqgi                   [.] SQVM::FallBackGet
     0.91%  sqgi     sqgi                   [.] SQVM::ObjCmp
     0.91%  sqgi     sqgi                   [.] SQTable::Set
     0.89%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa7465c
     0.85%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa771d4
     0.73%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     0.73%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     0.72%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa771f4
     0.72%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa74384
     0.71%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa772b0
     0.69%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa741f8
     0.68%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa772c8
     0.68%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa772e4
     0.62%  sqgi     sqgi                   [.] SQTable::NewSlot
     0.55%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.55%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa7464c
     0.55%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa7535c
     0.55%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa76354
     0.55%  sqgi     sqgi                   [.] SQVM::InvokeDefaultDelegate
     0.55%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa76264
     0.55%  sqgi     sqgi                   [.] SQVM::DerefInc
     0.55%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa7469c
     0.54%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa734bc
     0.54%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa77220
     0.54%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa74240
     0.54%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa74224
     0.54%  sqgi     sqgi                   [.] SQJitWriteLog::Bucket
     0.53%  sqgi     [JIT] tid 540880       [.] 0x0000ffff7fa77238


#
# (Cannot load tips.txt file, please install perf!)
#
