# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 332  of event 'cycles:u'
# Event count (approx.): 1362634204
#
# Overhead  Command  Shared Object            Symbol                                          
# ........  .......  .......................  ................................................
#
    16.39%  sqgi     sqgi                     [.] sqjit_a64_borrow_member_ptr_value
    10.67%  sqgi     sqgi                     [.] sqjit_a64_helper_member_closure_guard
     3.00%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5dec1d4
     2.66%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff4430
     1.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff3394
     1.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5dec1e8
     1.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff51d4
     1.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff435c
     1.34%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5dec254
     1.34%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff3518
     1.34%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5def29c
     1.34%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5def284
     1.34%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff3684
     1.33%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff38cc
     1.33%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff42b0
     1.33%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ded288
     1.25%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff51e8
     1.00%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5dec240
     1.00%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff3808
     1.00%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff44dc
     1.00%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff33a8
     1.00%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff3740
     1.00%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5def2b0
     1.00%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ded1ec
     1.00%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5dec198
     1.00%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5dee1f4
     1.00%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff37fc
     1.00%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5def230
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff35dc
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff3860
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff35c4
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff34fc
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff4368
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5dee2e8
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff3674
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff38a0
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff38b8
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff35b0
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff33a0
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff350c
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff44cc
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5def23c
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff38a8
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5def2c8
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff4274
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff374c
     0.67%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5dee2f8
     0.66%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff3698
     0.66%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5dee1f8
     0.56%  sqgi     [JIT] tid 541068         [.] 0x0000ffffb5ff51bc


#
# (Cannot load tips.txt file, please install perf!)
#
