# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11257851963
#
# Overhead  Command  Shared Object          Symbol                                           
# ........  .......  .....................  .................................................
#
    20.31%  sqgi     sqgi                   [.] SQVM::Execute
     4.73%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     2.84%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a05230
     2.63%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a08240
     2.43%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a061b4
     2.35%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a07268
     2.18%  sqgi     sqgi                   [.] SQTable::Get
     1.95%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a081c0
     1.94%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a071ac
     1.86%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a081d4
     1.78%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     1.70%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a051c0
     1.46%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a061a0
     1.46%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.34%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a05244
     1.34%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a071c0
     1.32%  sqgi     libm.so.6              [.] pow@@GLIBC_2.29
     1.17%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a07254
     1.17%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a08210
     1.05%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a061bc
     1.04%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a08248
     0.93%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a05274
     0.93%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a07270
     0.93%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     0.89%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a05258
     0.89%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a07238
     0.85%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a081f8
     0.77%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a0822c
     0.61%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     0.57%  sqgi     sqgi                   [.] SQVM::ObjCmp
     0.53%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a0a264
     0.53%  sqgi     [JIT] tid 540797       [.] 0x0000ffffa0a061a4


#
# (Cannot load tips.txt file, please install perf!)
#
