# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 6239906418
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                        
# ........  .......  ............................  ..............................................................................................................................................................................
#
    57.64%  sqgi     sqgi                          [.] SQVM::Execute
     4.73%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     3.65%  sqgi     sqgi                          [.] SQTable::Get
     3.14%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.47%  sqgi     sqgi                          [.] sqjit_try_execute_current
     1.82%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     1.53%  sqgi     sqgi                          [.] SQVM::Return
     1.53%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     1.46%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.39%  sqgi     sqgi                          [.] SQVM::CMP_OP
     1.17%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     1.09%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     1.02%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     0.80%  sqgi     sqgi                          [.] sqjit_a64_helper_array_set_float_logged
     0.73%  sqgi     sqgi                          [.] SQVM::StartCall
     0.73%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     0.73%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.71%  sqgi     sqgi                          [.] SQVM::ObjCmp
     0.66%  sqgi     sqgi                          [.] SQJitWriteLog::RecordArray
     0.58%  sqgi     sqgi                          [.] sqjit_on_function_enter
     0.58%  sqgi     sqgi                          [.] SQVM::EnterFrame


#
# (Cannot load tips.txt file, please install perf!)
#
