# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 8979984159
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    41.02%  sqgi     sqgi                   [.] SQVM::Execute
     8.98%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     6.68%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     6.14%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     5.09%  sqgi     sqgi                   [.] sqjit_try_execute_current
     2.58%  sqgi     sqgi                   [.] SQVM::Return
     2.28%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     2.23%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     2.18%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     2.13%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     1.83%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     1.55%  sqgi     sqgi                   [.] SQVM::StartCall
     1.47%  sqgi     sqgi                   [.] sqjit_on_function_enter
     1.27%  sqgi     sqgi                   [.] SQVM::CMP_OP
     1.22%  sqgi     sqgi                   [.] SQVM::ObjCmp
     0.96%  sqgi     sqgi                   [.] sqjit_context
     0.91%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     0.76%  sqgi     sqgi                   [.] SQObjectPtr::operator=
     0.76%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.76%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.76%  sqgi     sqgi                   [.] sqjit_native_precheck
     0.66%  sqgi     sqgi                   [.] sqjit_proto_backoff_active
     0.61%  sqgi     sqgi                   [.] sqjit_native_call_fits_stack
     0.51%  sqgi     libc.so.6              [.] __memset_zva64


#
# (Cannot load tips.txt file, please install perf!)
#
