# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 8383948986
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    18.13%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
    10.99%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     9.02%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     7.81%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     5.59%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     5.54%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     5.25%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     3.47%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     3.42%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     3.26%  sqgi     sqgi                   [.] SQVM::ObjCmp
     2.61%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     2.06%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)2, false>
     1.67%  sqgi     [JIT] tid 540955       [.] 0x0000ffff952c8c9c
     1.41%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.76%  sqgi     [JIT] tid 540955       [.] 0x0000ffff952c8488
     0.65%  sqgi     [JIT] tid 540955       [.] 0x0000ffff952c8f70
     0.60%  sqgi     [JIT] tid 540955       [.] 0x0000ffff952c8a84
     0.60%  sqgi     sqgi                   [.] SQVM::IsFalse


#
# (Cannot load tips.txt file, please install perf!)
#
