# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 221  of event 'cycles:u'
# Event count (approx.): 865915977
#
# Overhead  Command  Shared Object                 Symbol                                                
# ........  .......  ............................  ......................................................
#
    12.10%  sqgi     sqgi                          [.] sqjit_a64_resolve_root_store_slot
    11.90%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
    11.04%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
    10.91%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
    10.34%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     6.61%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     6.31%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_reference_logged
     5.94%  sqgi     sqgi                          [.] sqjit_a64_helper_instance_field_set_integer_logged
     2.10%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb14571bc
     1.82%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb145a210
     1.58%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb1458174
     1.57%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb14591d8
     1.05%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb1458154
     1.05%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb145a250
     1.05%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb1459224
     1.00%  sqgi     sqgi                          [.] sqjit_write_log_ensure
     0.73%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb145a170
     0.53%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb145713c
     0.53%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb145811c
     0.53%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb1457208
     0.53%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb14581e0
     0.53%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb14571e0
     0.53%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb145822c
     0.53%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb14571b4
     0.53%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb1457220
     0.53%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb1458280
     0.53%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb145912c
     0.53%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb1458268
     0.53%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb14581a0
     0.53%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb14591d0
     0.53%  sqgi     sqgi                          [.] SQJitWriteLog::OwnerBucket
     0.53%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb14591ac
     0.53%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb145920c
     0.53%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb1457240
     0.52%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb1458160
     0.52%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb14571b0
     0.52%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb1459190
     0.51%  sqgi     [JIT] tid 540905              [.] 0x0000ffffb145a228


#
# (Cannot load tips.txt file, please install perf!)
#
