# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 581  of event 'cycles:u'
# Event count (approx.): 2535399368
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                       
# ........  .......  ............................  .............................................................................................................................................................................
#
    15.70%  sqgi     sqgi                          [.] SQVM::Execute
    14.85%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
     6.22%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     6.16%  sqgi     sqgi                          [.] sqjit_a64_helper_array_get_object
     4.07%  sqgi     sqgi                          [.] sqjit_a64_root_fallback_safe
     3.60%  sqgi     sqgi                          [.] SQTable::Get
     3.60%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     2.45%  sqgi     [JIT] tid 534284              [.] 0x0000ffff83306214
     2.12%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     1.98%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.80%  sqgi     sqgi                          [.] SQVM::DerefInc
     1.61%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     1.38%  sqgi     [JIT] tid 534284              [.] 0x0000ffff833062f0
     1.26%  sqgi     sqgi                          [.] SQTable::Set
     1.08%  sqgi     sqgi                          [.] SQVM::CMP_OP
     1.03%  sqgi     [JIT] tid 534284              [.] 0x0000ffff833092e4
     0.90%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.89%  sqgi     [JIT] tid 534284              [.] 0x0000ffff833063b0
     0.87%  sqgi     [JIT] tid 534284              [.] 0x0000ffff833092dc
     0.72%  sqgi     sqgi                          [.] SQVM::ObjCmp
     0.72%  sqgi     [JIT] tid 534284              [.] 0x0000ffff8330617c
     0.72%  sqgi     [JIT] tid 534284              [.] 0x0000ffff83308380
     0.72%  sqgi     [JIT] tid 534284              [.] 0x0000ffff83308264
     0.72%  sqgi     [JIT] tid 534284              [.] 0x0000ffff83307324
     0.72%  sqgi     [JIT] tid 534284              [.] 0x0000ffff83309220
     0.71%  sqgi     [JIT] tid 534284              [.] 0x0000ffff833062ec
     0.71%  sqgi     [JIT] tid 534284              [.] 0x0000ffff833091d4
     0.69%  sqgi     [JIT] tid 534284              [.] 0x0000ffff833061f8
     0.54%  sqgi     sqgi                          [.] SQVM::InvokeDefaultDelegate
     0.54%  sqgi     [JIT] tid 534284              [.] 0x0000ffff83306204
     0.54%  sqgi     [JIT] tid 534284              [.] 0x0000ffff833092c8
     0.54%  sqgi     sqgi                          [.] SQVM::FallBackGet
     0.54%  sqgi     [JIT] tid 534284              [.] 0x0000ffff833054d4
     0.53%  sqgi     [JIT] tid 534284              [.] 0x0000ffff8330616c
     0.52%  sqgi     [JIT] tid 534284              [.] 0x0000ffff83306384
     0.52%  sqgi     [JIT] tid 534284              [.] 0x0000ffff83309238


#
# (Cannot load tips.txt file, please install perf!)
#
