# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 317  of event 'cycles:u'
# Event count (approx.): 1364568587
#
# Overhead  Command  Shared Object               Symbol                                          
# ........  .......  ..........................  ................................................
#
    13.90%  sqgi     sqgi                        [.] sqjit_a64_borrow_member_ptr_value
     8.01%  sqgi     sqgi                        [.] sqjit_a64_helper_member_closure_guard
     2.34%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f2284
     2.34%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997ef240
     2.34%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f12f8
     2.00%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f435c
     1.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f345c
     1.34%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f3740
     1.34%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f4368
     1.34%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f3394
     1.34%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f350c
     1.34%  sqgi     sqgi                        [.] sqjit_a64_helper_member_native_closure_guard
     1.34%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997ef1e8
     1.34%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f3518
     1.33%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f22dc
     1.33%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997ef1d4
     1.14%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f51bc
     1.00%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f124c
     1.00%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f3808
     1.00%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f3674
     1.00%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f1220
     1.00%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f33a8
     1.00%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f428c
     1.00%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f3698
     1.00%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997ef254
     1.00%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f0288
     1.00%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f22b0
     1.00%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f222c
     1.00%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f01f4
     1.00%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f01c8
     1.00%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f429c
     0.99%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f4370
     0.91%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f51d4
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f42b0
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f337c
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f4274
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f38c4
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f3590
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f37ec
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f35dc
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f3810
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f3754
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f38b8
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f33a0
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f35d4
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f43e0
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f44dc
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f12dc
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f4430
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f35c8
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f130c
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f44f0
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f1304
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f0190
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f01e4
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f226c
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f123c
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f0128
     0.67%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f01ec
     0.66%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f42a8
     0.62%  sqgi     [JIT] tid 534502            [.] 0x0000ffff997f51e0


#
# (Cannot load tips.txt file, please install perf!)
#
