# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11390058300
#
# Overhead  Command  Shared Object            Symbol                                           
# ........  .......  .......................  .................................................
#
    19.23%  sqgi     sqgi                     [.] SQVM::Execute
     4.18%  sqgi     sqgi                     [.] sqjit_a64_borrow_member_ptr_value
     2.61%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b5230
     2.55%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b8240
     2.39%  sqgi     sqgi                     [.] sqjit_a64_helper_member_closure_guard
     2.29%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b7268
     2.21%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b61b4
     2.09%  sqgi     sqgi                     [.] SQTable::Get
     1.97%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b51c0
     1.71%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b81d4
     1.57%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b71ac
     1.49%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b5244
     1.45%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b61a0
     1.41%  sqgi     sqgi                     [.] sqjit_number_conversion_guard
     1.24%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     1.23%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b81c0
     1.21%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b71c0
     1.19%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b822c
     1.16%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b7254
     1.13%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b7238
     1.12%  sqgi     libm.so.6                [.] pow@@GLIBC_2.29
     1.00%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b5258
     1.00%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b8248
     0.92%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b7270
     0.92%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b61bc
     0.84%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b8210
     0.80%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b5274
     0.80%  sqgi     sqgi                     [.] SQJitWriteLog::RecordArray
     0.68%  sqgi     sqgi                     [.] sqjit_a64_helper_member_native_closure_guard
     0.68%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6ba264
     0.64%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b61a4
     0.64%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6bb224
     0.64%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6ba2e0
     0.63%  sqgi     sqgi                     [.] sqjit_try_execute_current
     0.60%  sqgi     libm.so.6                [.] __atan2_finite@GLIBC_2.17
     0.56%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     0.56%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b81f8
     0.52%  sqgi     [JIT] tid 534190         [.] 0x0000ffffbe6b7224


#
# (Cannot load tips.txt file, please install perf!)
#
