# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 6293663123
#
# Overhead  Command  Shared Object                 Symbol                                                                               
# ........  .......  ............................  .....................................................................................
#
    55.33%  sqgi     sqgi                          [.] SQVM::Execute
     4.91%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     4.54%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     3.05%  sqgi     sqgi                          [.] SQTable::Get
     2.83%  sqgi     sqgi                          [.] sqjit_try_execute_current
     2.47%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.88%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     1.81%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.74%  sqgi     sqgi                          [.] SQVM::Return
     1.58%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     1.45%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     1.02%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.94%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     0.80%  sqgi     sqgi                          [.] SQVM::Get
     0.80%  sqgi     sqgi                          [.] sqjit_native_call_fits_stack
     0.72%  sqgi     sqgi                          [.] SQJitWriteLog::RecordArray
     0.72%  sqgi     sqgi                          [.] SQVM::StartCall
     0.62%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.58%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     0.51%  sqgi     sqgi                          [.] sqjit_on_function_enter
     0.51%  sqgi     sqgi                          [.] sqjit_a64_helper_array_set_float_logged
     0.51%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected


#
# (Cannot load tips.txt file, please install perf!)
#
