# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9437578037
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    41.01%  sqgi     sqgi                   [.] SQVM::Execute
     9.25%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     5.99%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     4.79%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     4.40%  sqgi     sqgi                   [.] sqjit_try_execute_current
     3.29%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     2.66%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     2.56%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.31%  sqgi     sqgi                   [.] SQVM::Return
     2.12%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     2.08%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     2.03%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     1.74%  sqgi     sqgi                   [.] SQVM::StartCall
     1.58%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.45%  sqgi     sqgi                   [.] sqjit_on_function_enter
     1.16%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     0.96%  sqgi     sqgi                   [.] sqjit_context
     0.92%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.73%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.73%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.68%  sqgi     sqgi                   [.] sqjit_native_call_fits_stack
     0.63%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     0.63%  sqgi     sqgi                   [.] SQVM::EnterFrame
     0.53%  sqgi     sqgi                   [.] SQObjectPtr::operator=


#
# (Cannot load tips.txt file, please install perf!)
#
