# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9334923687
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    16.86%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
    10.58%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, false>
    10.16%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     8.72%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     6.60%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     5.56%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     4.64%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     4.40%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     4.19%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     3.23%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     2.73%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.66%  sqgi     [JIT] tid 534367       [.] 0x0000ffff89293c00
     1.46%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)2, false>
     1.27%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.88%  sqgi     [JIT] tid 534367       [.] 0x0000ffff89293ed4


#
# (Cannot load tips.txt file, please install perf!)
#
