# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 211  of event 'cycles:u'
# Event count (approx.): 870125860
#
# Overhead  Command  Shared Object                 Symbol                                                
# ........  .......  ............................  ......................................................
#
    12.51%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
    11.00%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     9.27%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     8.91%  sqgi     sqgi                          [.] sqjit_a64_resolve_root_store_slot
     8.62%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     6.29%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_reference_logged
     6.22%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     3.83%  sqgi     sqgi                          [.] sqjit_a64_helper_instance_field_set_integer_logged
     3.14%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e171d8
     3.02%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e18210
     2.63%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e151bc
     2.10%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e1618c
     1.57%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e16280
     1.05%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e1714c
     1.05%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e18250
     1.05%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e17224
     1.05%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e15220
     1.05%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e16154
     1.05%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e16268
     1.04%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e18238
     0.53%  sqgi     ld-linux-aarch64.so.1         [.] check_match
     0.53%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e1511c
     0.53%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e17138
     0.53%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e15178
     0.53%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e1720c
     0.53%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e16194
     0.53%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e16174
     0.52%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e15208
     0.52%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e1625c
     0.52%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e161bc
     0.52%  sqgi     sqgi                          [.] SQJitWriteLog::OwnerBucket
     0.52%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e162a0
     0.52%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e15174
     0.52%  sqgi     sqgi                          [.] SQJitWriteLog::ReleaseEntry
     0.52%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e15190
     0.52%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e16234
     0.52%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e161ac
     0.52%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e171fc
     0.52%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e15154
     0.52%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e18170
     0.52%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e181e4
     0.51%  sqgi     [JIT] tid 534310              [.] 0x0000ffff81e18268


#
# (Cannot load tips.txt file, please install perf!)
#
