# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 571  of event 'cycles:u'
# Event count (approx.): 2490402577
#
# Overhead  Command  Shared Object          Symbol                                                                               
# ........  .......  .....................  .....................................................................................
#
    15.52%  sqgi     sqgi                   [.] SQVM::Execute
    13.18%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
     6.99%  sqgi     sqgi                   [.] sqjit_a64_helper_array_get_object
     5.48%  sqgi     sqgi                   [.] sqjit_a64_root_fallback_safe
     4.75%  sqgi     sqgi                   [.] SQTable::Get
     3.99%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     3.95%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
     2.86%  sqgi     [JIT] tid 586082       [.] 0x0000ffff8cf36214
     2.18%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     2.01%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     1.65%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     1.64%  sqgi     sqgi                   [.] SQVM::DerefInc
     1.63%  sqgi     [JIT] tid 586082       [.] 0x0000ffff8cf361a0
     1.24%  sqgi     [JIT] tid 586082       [.] 0x0000ffff8cf363b0
     1.10%  sqgi     sqgi                   [.] SQVM::Get
     1.09%  sqgi     sqgi                   [.] SQVM::Set
     1.09%  sqgi     sqgi                   [.] SQVM::FallBackGet
     1.06%  sqgi     [JIT] tid 586082       [.] 0x0000ffff8cf362f0
     1.06%  sqgi     [JIT] tid 586082       [.] 0x0000ffff8cf392dc
     0.91%  sqgi     sqgi                   [.] SQTable::Set
     0.73%  sqgi     sqgi                   [.] SQVM::ObjCmp
     0.73%  sqgi     [JIT] tid 586082       [.] 0x0000ffff8cf36384
     0.72%  sqgi     [JIT] tid 586082       [.] 0x0000ffff8cf392c8
     0.69%  sqgi     [JIT] tid 586082       [.] 0x0000ffff8cf361f8
     0.55%  sqgi     [JIT] tid 586082       [.] 0x0000ffff8cf3617c
     0.55%  sqgi     [JIT] tid 586082       [.] 0x0000ffff8cf372c0
     0.55%  sqgi     sqgi                   [.] SQVM::ARITH_OP
     0.55%  sqgi     [JIT] tid 586082       [.] 0x0000ffff8cf39244
     0.55%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.55%  sqgi     [JIT] tid 586082       [.] 0x0000ffff8cf354e8


#
# (Cannot load tips.txt file, please install perf!)
#
