# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 330  of event 'cycles:u'
# Event count (approx.): 1356369025
#
# Overhead  Command  Shared Object          Symbol                                   
# ........  .......  .....................  .........................................
#
    14.42%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     9.73%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     2.35%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf394
     2.02%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aece284
     2.00%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9b0d341c
     1.68%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf45c
     1.68%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecb240
     1.68%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecd2f8
     1.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9b0d34dc
     1.51%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9b0d41d4
     1.43%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9b0d41e8
     1.35%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf8cc
     1.34%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf740
     1.34%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecd220
     1.34%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecb254
     1.34%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecb1d4
     1.34%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aece29c
     1.34%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9b0d3428
     1.34%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9b0d34e8
     1.34%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9b0d32a8
     1.33%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9b0d328c
     1.01%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf5dc
     1.01%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf698
     1.01%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aece2b0
     1.01%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf74c
     1.01%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecc190
     1.01%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecc1f4
     1.01%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecb1e8
     1.01%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecb1f0
     1.00%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf5d4
     1.00%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aece22c
     1.00%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecd24c
     1.00%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9b0d3368
     0.79%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9b0d41bc
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf830
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf810
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf5c8
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf8b4
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf37c
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf518
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf8b8
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf450
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9b0d334c
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf684
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9b0d335c
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf50c
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf808
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aece26c
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf4fc
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecd304
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf464
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf3a0
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aece25c
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecf66c
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecc1e4
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9b0d3370
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9b0d3430
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aecc23c
     0.67%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9aece23c
     0.54%  sqgi     [JIT] tid 586373       [.] 0x0000ffff9b0d41ac


#
# (Cannot load tips.txt file, please install perf!)
#
