# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11176017789
#
# Overhead  Command  Shared Object          Symbol                                           
# ........  .......  .....................  .................................................
#
    20.48%  sqgi     sqgi                   [.] SQVM::Execute
     5.30%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     2.69%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb0230
     2.68%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb3240
     2.41%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb11b4
     2.08%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb2268
     2.08%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     2.04%  sqgi     sqgi                   [.] SQTable::Get
     1.84%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb31d4
     1.84%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb11a0
     1.80%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb01c0
     1.59%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb21ac
     1.55%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb0244
     1.47%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb31c0
     1.26%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.10%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb2254
     1.02%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb0258
     1.02%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb2238
     0.98%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb2270
     0.94%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb322c
     0.90%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb0274
     0.90%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb6244
     0.86%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb21c0
     0.82%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb3248
     0.82%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb11a4
     0.82%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb11bc
     0.78%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb52e0
     0.73%  sqgi     libm.so.6              [.] pow@@GLIBC_2.29
     0.72%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb3210
     0.65%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb2224
     0.61%  sqgi     libm.so.6              [.] __atan2_finite@GLIBC_2.17
     0.56%  sqgi     sqgi                   [.] SQJitWriteLog::RecordArray
     0.53%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb31fc
     0.53%  sqgi     [JIT] tid 585947       [.] 0x0000ffff9efb31f8
     0.53%  sqgi     sqgi                   [.] sqjit_a64_helper_array_set_float_logged


#
# (Cannot load tips.txt file, please install perf!)
#
