# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 6004530753
#
# Overhead  Command  Shared Object          Symbol                                          
# ........  .......  .....................  ................................................
#
    58.44%  sqgi     sqgi                   [.] SQVM::Execute
     3.49%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.99%  sqgi     sqgi                   [.] sqjit_try_execute_current
     2.73%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.66%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     2.66%  sqgi     sqgi                   [.] SQTable::Get
     1.97%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.29%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     1.06%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.06%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.99%  sqgi     sqgi                   [.] SQVM::Return
     0.99%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.91%  sqgi     sqgi                   [.] sqjit_on_function_enter
     0.87%  sqgi     sqgi                   [.] SQVM::StartCall
     0.79%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     0.76%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.76%  sqgi     sqgi                   [.] sqjit_a64_helper_array_set_float_logged
     0.76%  sqgi     sqgi                   [.] SQJitWriteLog::RecordArray
     0.67%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     0.60%  sqgi     sqgi                   [.] SQObjectPtr::operator=
     0.53%  sqgi     sqgi                   [.] sqjit_proto_backoff_active
     0.53%  sqgi     sqgi                   [.] SQVM::FallBackGet
     0.53%  sqgi     sqgi                   [.] SQVM::Get


#
# (Cannot load tips.txt file, please install perf!)
#
