# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 8237926061
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    47.87%  sqgi     sqgi                   [.] SQVM::Execute
     8.52%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     4.86%  sqgi     sqgi                   [.] sqjit_try_execute_current
     3.26%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     2.93%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.80%  sqgi     sqgi                   [.] SQVM::StartCall
     2.49%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     2.43%  sqgi     sqgi                   [.] SQVM::Return
     2.05%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     1.61%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     1.44%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.32%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     1.19%  sqgi     sqgi                   [.] sqjit_on_function_enter
     1.11%  sqgi     sqgi                   [.] sqjit_native_call_fits_stack
     0.94%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     0.89%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.89%  sqgi     sqgi                   [.] sqjit_context
     0.83%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.78%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     0.77%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.72%  sqgi     sqgi                   [.] SQVM::EnterFrame


#
# (Cannot load tips.txt file, please install perf!)
#
