# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5264539307
#
# Overhead  Command  Shared Object          Symbol                                                                                   
# ........  .......  .....................  .........................................................................................
#
    10.12%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     9.78%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     5.36%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     4.85%  sqgi     sqgi                   [.] SQVM::ObjCmp
     3.81%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     2.77%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6315424
     2.42%  sqgi     sqgi                   [.] SQVM::CMP_OP
     1.39%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6315c68
     1.30%  sqgi     sqgi                   [.] SQVM::IsFalse
     1.17%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa631674c
     1.04%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6315434
     0.95%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6316268
     0.78%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa63158c8
     0.78%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6316218
     0.78%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6316220
     0.78%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6316148
     0.69%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa631647c
     0.69%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa63158d8
     0.69%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6316540
     0.69%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6315490
     0.69%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa63154a0
     0.69%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6316ad8
     0.65%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6315420
     0.61%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa631642c
     0.61%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa631586c
     0.61%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa631695c
     0.61%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa63152f8
     0.61%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6315d54
     0.61%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6316270
     0.61%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa63161d4
     0.58%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6316b2c
     0.52%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6316548
     0.52%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6316398
     0.52%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6316508
     0.52%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6315514
     0.52%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa63163d0
     0.52%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa63154e8
     0.52%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa63156a0
     0.52%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6316308
     0.52%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6316678
     0.52%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa63157ac
     0.52%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6316aa0
     0.52%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa63163ac
     0.52%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa63153fc
     0.52%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa631572c
     0.51%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa63161b4
     0.50%  sqgi     [JIT] tid 586167       [.] 0x0000ffffa6315354


#
# (Cannot load tips.txt file, please install perf!)
#
