# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 225  of event 'cycles:u'
# Event count (approx.): 880773681
#
# Overhead  Command  Shared Object            Symbol                                                
# ........  .......  .......................  ......................................................
#
    16.46%  sqgi     sqgi                     [.] SQJitWriteLog::RecordMember
    12.93%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_integer_logged
    11.17%  sqgi     sqgi                     [.] sqjit_a64_borrow_member_ptr_value
     8.80%  sqgi     sqgi                     [.] sqjit_a64_resolve_root_store_slot
     8.14%  sqgi     sqgi                     [.] SQJitWriteLog::CanRelease
     7.77%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_reference_logged
     5.06%  sqgi     sqgi                     [.] sqjit_a64_helper_instance_field_set_integer_logged
     4.14%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd2661d8
     4.06%  sqgi     sqgi                     [.] sqjit_a64_helper_member_closure_guard
     2.07%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd2641bc
     1.55%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd26518c
     1.55%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd266170
     1.04%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd266224
     1.04%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd26525c
     1.03%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd265280
     1.03%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd265194
     0.85%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd2671ac
     0.73%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd267210
     0.52%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd265240
     0.52%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd264220
     0.52%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd264240
     0.52%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd264110
     0.52%  sqgi     sqgi                     [.] SQTable::Release
     0.52%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd265268
     0.52%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd264190
     0.52%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd264178
     0.52%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd267158
     0.52%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd2641fc
     0.52%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd264200
     0.52%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd267170
     0.52%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd267250
     0.52%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd265214
     0.51%  sqgi     [JIT] tid 586102         [.] 0x0000ffffbd267248


#
# (Cannot load tips.txt file, please install perf!)
#
