# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 17319296265
#
# Overhead  Command  Shared Object          Symbol                           
# ........  .......  .....................  .................................
#
    60.59%  sqgi     sqgi                   [.] sqjit_a64_precise_step
    17.37%  sqgi     sqgi                   [.] sqjit_a64_precise_member
    10.76%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     1.79%  sqgi     sqgi                   [.] SQVM::ARITH_OP
     1.24%  sqgi     sqgi                   [.] SQVM::ObjCmp
     0.92%  sqgi     [JIT] tid 496050       [.] 0x0000ffffa2355904
     0.87%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.53%  sqgi     sqgi                   [.] SQVM::CMP_OP


#
# (Cannot load tips.txt file, please install perf!)
#
