# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:u'
# Event count (approx.): 19006692360
#
# Overhead  Command  Shared Object                 Symbol                           
# ........  .......  ............................  .................................
#
    51.08%  sqgi     sqgi                          [.] sqjit_a64_precise_step
    20.79%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
    15.24%  sqgi     sqgi                          [.] sqjit_a64_precise_member
     2.09%  sqgi     sqgi                          [.] SQVM::ARITH_OP
     1.72%  sqgi     sqgi                          [.] SQObjectPtr::operator=
     1.61%  sqgi     sqgi                          [.] SQVM::ObjCmp
     0.76%  sqgi     [JIT] tid 478250              [.] 0x0000ffff8cc93904
     0.60%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.53%  sqgi     sqgi                          [.] SQVM::CMP_OP


#
# (Cannot load tips.txt file, please install perf!)
#
