# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 556  of event 'cycles:u'
# Event count (approx.): 2419421414
#
# Overhead  Command  Shared Object                 Symbol                                        
# ........  .......  ............................  ..............................................
#
    15.22%  sqgi     sqgi                          [.] SQVM::Execute
    12.64%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
     5.33%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     5.08%  sqgi     sqgi                          [.] SQTable::Get
     4.74%  sqgi     sqgi                          [.] sqjit_a64_helper_array_get_object
     3.89%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     3.56%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     3.18%  sqgi     sqgi                          [.] sqjit_a64_root_fallback_safe
     2.95%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb9275214
     1.87%  sqgi     sqgi                          [.] SQVM::DerefInc
     1.50%  sqgi     sqgi                          [.] SQVM::Set
     1.47%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb92751a0
     1.13%  sqgi     sqgi                          [.] SQVM::FallBackGet
     1.13%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.10%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb92782dc
     1.10%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb92782c8
     0.94%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.93%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb92753b0
     0.93%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb92781d4
     0.92%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb92752f0
     0.75%  sqgi     sqgi                          [.] SQTable::Set
     0.75%  sqgi     sqgi                          [.] SQVM::ObjCmp
     0.75%  sqgi     sqgi                          [.] SQVM::Get
     0.75%  sqgi     sqgi                          [.] SQJitWriteLog::Bucket
     0.74%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb92781f4
     0.73%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb927565c
     0.71%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb92782e4
     0.71%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb9278238
     0.68%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb9278220
     0.57%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb92754c0
     0.56%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.56%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb92761f8
     0.56%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb92782b0
     0.56%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb9278268
     0.56%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb9276318
     0.56%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb9277364
     0.56%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb927635c
     0.56%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb92745a4
     0.54%  sqgi     [JIT] tid 576469              [.] 0x0000ffffb9275734


#
# (Cannot load tips.txt file, please install perf!)
#
