# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 319  of event 'cycles:u'
# Event count (approx.): 1360288411
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                       
# ........  .......  ............................  .............................................................................................................................................
#
    18.69%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
    10.02%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     2.34%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa723c
     2.33%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa51e4
     2.01%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa4254
     1.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa845c
     1.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa88b8
     1.34%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa9428
     1.34%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa94e8
     1.34%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa8520
     1.34%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa9370
     1.34%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa6220
     1.34%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa6304
     1.34%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa87fc
     1.34%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa8450
     1.34%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa72b0
     1.33%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa929c
     1.33%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa5190
     1.22%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaaa1e0
     1.00%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa8680
     1.00%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa92a8
     1.00%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa8464
     1.00%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa9274
     1.00%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa85c8
     1.00%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa729c
     1.00%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa94dc
     1.00%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa41e8
     1.00%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa72c8
     1.00%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa41d4
     1.00%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa630c
     1.00%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa9368
     0.86%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaaa1e8
     0.82%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaaa1d4
     0.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa88c4
     0.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa84fc
     0.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa72dc
     0.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa83a0
     0.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa8740
     0.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa4260
     0.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa9430
     0.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa94cc
     0.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa62f8
     0.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa88cc
     0.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa85b8
     0.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa4268
     0.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa61f4
     0.67%  sqgi     sqgi                          [.] sqjit_a64_helper_member_native_closure_guard
     0.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa850c
     0.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa624c
     0.67%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa94f0
     0.66%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaa51c8
     0.63%  sqgi     [JIT] tid 576809              [.] 0x0000ffff9eaaa1bc


#
# (Cannot load tips.txt file, please install perf!)
#
