# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11181303710
#
# Overhead  Command  Shared Object                 Symbol                                           
# ........  .......  ............................  .................................................
#
    19.46%  sqgi     sqgi                          [.] SQVM::Execute
     5.22%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     3.06%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d6240
     3.02%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d3230
     2.77%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d5268
     2.12%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d41b4
     2.04%  sqgi     sqgi                          [.] SQTable::Get
     1.91%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d61c0
     1.91%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     1.59%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d31c0
     1.59%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d41a0
     1.51%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d51ac
     1.50%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d61d4
     1.47%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     1.35%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d3244
     1.34%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d41bc
     1.10%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d5270
     1.05%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d6210
     1.02%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d51c0
     1.02%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d622c
     0.86%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d3274
     0.82%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d3258
     0.82%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d5238
     0.77%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d6248
     0.73%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d5224
     0.65%  sqgi     libm.so.6                     [.] pow@@GLIBC_2.29
     0.61%  sqgi     sqgi                          [.] sqjit_a64_helper_member_native_closure_guard
     0.61%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d8264
     0.57%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d5254
     0.57%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d9244
     0.57%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d61f8
     0.53%  sqgi     sqgi                          [.] SQJitWriteLog::Contains
     0.53%  sqgi     [JIT] tid 576419              [.] 0x0000ffff9d8d82e0


#
# (Cannot load tips.txt file, please install perf!)
#
