# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 6107414046
#
# Overhead  Command  Shared Object            Symbol                                         
# ........  .......  .......................  ...............................................
#
    57.11%  sqgi     sqgi                     [.] SQVM::Execute
     3.18%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.96%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.61%  sqgi     sqgi                     [.] sqjit_try_execute_current_loop
     2.61%  sqgi     sqgi                     [.] SQTable::Get
     2.43%  sqgi     sqgi                     [.] sqjit_try_execute_current
     2.01%  sqgi     sqgi                     [.] SQVM::LeaveFrame
     1.86%  sqgi     sqgi                     [.] sqjit_number_conversion_guard
     1.72%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     1.34%  sqgi     sqgi                     [.] SQVM::ObjCmp
     1.34%  sqgi     sqgi                     [.] SQVM::Return
     1.12%  sqgi     sqgi                     [.] SQVM::StartCall
     1.11%  sqgi     sqgi                     [.] SQVM::IsFalse
     0.97%  sqgi     sqgi                     [.] SQVM::IsEqual
     0.67%  sqgi     sqgi                     [.] sqjit_on_function_enter
     0.66%  sqgi     sqgi                     [.] SQVM::CMP_OP
     0.60%  sqgi     sqgi                     [.] SQVM::FallBackGet
     0.60%  sqgi     sqgi                     [.] sqjit_loop_header_is_rejected
     0.52%  sqgi     sqgi                     [.] sqjit_a64_helper_array_set_float_logged
     0.52%  sqgi     sqgi                     [.] SQObjectPtr::operator=


#
# (Cannot load tips.txt file, please install perf!)
#
