# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 8240911458
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    43.12%  sqgi     sqgi                          [.] SQVM::Execute
    10.26%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     5.90%  sqgi     sqgi                          [.] sqjit_try_execute_current
     3.47%  sqgi     sqgi                          [.] SQVM::Return
     3.32%  sqgi     sqgi                          [.] SQVM::StartCall
     3.04%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.60%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     2.21%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     2.15%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     2.05%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     1.88%  sqgi     sqgi                          [.] sqjit_on_function_enter
     1.66%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     1.60%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.27%  sqgi     sqgi                          [.] SQVM::IsFalse
     1.22%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     1.05%  sqgi     sqgi                          [.] sqjit_context
     0.99%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     0.88%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.77%  sqgi     sqgi                          [.] sqjit_native_call_fits_stack
     0.71%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.55%  sqgi     libc.so.6                     [.] __memset_zva64


#
# (Cannot load tips.txt file, please install perf!)
#
