# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 6471007029
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    17.07%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     8.10%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     7.93%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     6.13%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     5.69%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     4.86%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     3.22%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.41%  sqgi     sqgi                          [.] SQVM::CMP_OP
     1.27%  sqgi     [JIT] tid 576653              [.] 0x0000ffff83c35424
     1.20%  sqgi     [JIT] tid 576653              [.] 0x0000ffff83c36474
     1.20%  sqgi     [JIT] tid 576653              [.] 0x0000ffff83c36154
     1.06%  sqgi     [JIT] tid 576653              [.] 0x0000ffff83c3582c
     0.92%  sqgi     [JIT] tid 576653              [.] 0x0000ffff83c35490
     0.92%  sqgi     [JIT] tid 576653              [.] 0x0000ffff83c35354
     0.85%  sqgi     [JIT] tid 576653              [.] 0x0000ffff83c3560c
     0.78%  sqgi     [JIT] tid 576653              [.] 0x0000ffff83c35698
     0.77%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.63%  sqgi     [JIT] tid 576653              [.] 0x0000ffff83c35f10
     0.63%  sqgi     [JIT] tid 576653              [.] 0x0000ffff83c35434
     0.63%  sqgi     [JIT] tid 576653              [.] 0x0000ffff83c35b90
     0.63%  sqgi     [JIT] tid 576653              [.] 0x0000ffff83c35690
     0.56%  sqgi     [JIT] tid 576653              [.] 0x0000ffff83c360f8
     0.56%  sqgi     [JIT] tid 576653              [.] 0x0000ffff83c360d0
     0.56%  sqgi     [JIT] tid 576653              [.] 0x0000ffff83c35568


#
# (Cannot load tips.txt file, please install perf!)
#
