# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 224  of event 'cycles:u'
# Event count (approx.): 861538089
#
# Overhead  Command  Shared Object          Symbol                                                
# ........  .......  .....................  ......................................................
#
    13.32%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
    12.19%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
    11.10%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
     8.71%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     6.88%  sqgi     sqgi                   [.] sqjit_a64_resolve_root_store_slot
     6.87%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     6.87%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_reference_logged
     3.91%  sqgi     sqgi                   [.] sqjit_a64_helper_instance_field_set_integer_logged
     3.70%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb51bc
     3.70%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb71d8
     1.59%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb618c
     1.06%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb712c
     1.06%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb51fc
     1.06%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb613c
     1.06%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb61ac
     1.06%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb6268
     1.05%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb6280
     1.04%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb81ac
     1.03%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb820c
     0.96%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb8210
     0.94%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     0.53%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb5174
     0.53%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb511c
     0.53%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb7244
     0.53%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb62a0
     0.53%  sqgi     sqgi                   [.] SQJitWriteLog::OwnerBucket
     0.53%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb8120
     0.53%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb622c
     0.53%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb7190
     0.53%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb61bc
     0.53%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb625c
     0.53%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb812c
     0.53%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb6240
     0.53%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb7224
     0.53%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb8250
     0.53%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb5208
     0.53%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb5220
     0.52%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb8190
     0.52%  sqgi     [JIT] tid 576529       [.] 0x0000ffffbcfb8170


#
# (Cannot load tips.txt file, please install perf!)
#
