# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 608  of event 'cycles:u'
# Event count (approx.): 2580423617
#
# Overhead  Command  Shared Object            Symbol                                        
# ........  .......  .......................  ..............................................
#
    16.50%  sqgi     sqgi                     [.] SQJitWriteLog::RecordMember
    14.96%  sqgi     sqgi                     [.] SQVM::Execute
     4.78%  sqgi     sqgi                     [.] sqjit_a64_helper_array_get_object
     4.68%  sqgi     sqgi                     [.] sqjit_a64_root_fallback_safe
     4.39%  sqgi     sqgi                     [.] SQTable::Get
     3.48%  sqgi     sqgi                     [.] sqjit_a64_borrow_member_ptr_value
     3.43%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_integer_logged
     3.32%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec4214
     2.56%  sqgi     sqgi                     [.] SQJitWriteLog::CanRelease
     1.76%  sqgi     sqgi                     [.] sqjit_a64_helper_member_closure_guard
     1.38%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec72dc
     1.23%  sqgi     sqgi                     [.] SQVM::DerefInc
     1.22%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec41a0
     1.06%  sqgi     sqgi                     [.] sqjit_try_execute_current_loop
     1.06%  sqgi     sqgi                     [.] SQVM::FallBackGet
     1.05%  sqgi     sqgi                     [.] SQVM::Set
     1.05%  sqgi     sqgi                     [.] SQTable::Set
     1.05%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec71d4
     1.03%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec42f0
     0.88%  sqgi     sqgi                     [.] SQVM::Get
     0.87%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec41f8
     0.87%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec43b0
     0.87%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec4734
     0.82%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec465c
     0.71%  sqgi     sqgi                     [.] SQVM::IsFalse
     0.70%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec6364
     0.70%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec42ac
     0.68%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec7220
     0.64%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec71f4
     0.64%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec7238
     0.53%  sqgi     sqgi                     [.] SQVM::CMP_OP
     0.53%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec72e4
     0.53%  sqgi     sqgi                     [.] SQVM::ObjCmp
     0.53%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec6264
     0.53%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec6330
     0.53%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec34d4
     0.53%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec44c0
     0.53%  sqgi     [JIT] tid 495379         [.] 0x0000ffff8aec451c
     0.52%  sqgi     sqgi                     [.] SQJitWriteLog::Bucket


#
# (Cannot load tips.txt file, please install perf!)
#
