# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 316  of event 'cycles:u'
# Event count (approx.): 1364335493
#
# Overhead  Command  Shared Object          Symbol                                          
# ........  .......  .....................  ................................................
#
    16.89%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     8.64%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     2.33%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f95d4
     1.99%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4fa2b0
     1.87%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4fb1d4
     1.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f5240
     1.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f93a0
     1.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f945c
     1.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f9698
     1.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f5254
     1.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f724c
     1.33%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f95c8
     1.33%  sqgi     sqgi                   [.] sqjit_a64_helper_member_native_closure_guard
     1.33%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f9808
     1.33%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4fa2a8
     1.33%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f72f8
     1.21%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4fb1bc
     1.00%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f51f0
     1.00%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f9518
     1.00%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f9684
     1.00%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f97fc
     1.00%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f7220
     1.00%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4fa34c
     1.00%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f51e8
     1.00%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f98b8
     1.00%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f82b0
     1.00%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f98c4
     1.00%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4fa368
     1.00%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f9394
     1.00%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f8284
     0.99%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f72e8
     0.99%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f6190
     0.67%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4fa29c
     0.67%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f9440
     0.67%  sqgi     sqgi                   [.] native_sqrt
     0.67%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4fa35c
     0.67%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f98cc
     0.67%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4fa41c
     0.67%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f7304
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f93a8
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f51d4
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f829c
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f950c
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4fa4f0
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4fa428
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f82dc
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f61e4
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f61c8
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f95c4
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f61f4
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f9520
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f826c
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f81c4
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4fa358
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4fa370
     0.66%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4f822c
     0.65%  sqgi     [JIT] tid 495641       [.] 0x0000ffff8c4fb1e8


#
# (Cannot load tips.txt file, please install perf!)
#
