# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11582142213
#
# Overhead  Command  Shared Object                 Symbol                                           
# ........  .......  ............................  .................................................
#
    19.39%  sqgi     sqgi                          [.] SQVM::Execute
     5.30%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     2.67%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b1268
     2.32%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817af230
     2.16%  sqgi     sqgi                          [.] SQTable::Get
     2.08%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b01b4
     2.06%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b2240
     1.96%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b21c0
     1.92%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     1.88%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b21d4
     1.81%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b01a0
     1.77%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817af1c0
     1.49%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b11ac
     1.34%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817af244
     1.32%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     1.18%  sqgi     libm.so.6                     [.] pow@@GLIBC_2.29
     1.18%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     1.14%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9>
     1.02%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817af274
     1.02%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b1238
     1.01%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b2210
     0.98%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817af258
     0.98%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b11c0
     0.98%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13>
     0.98%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b222c
     0.90%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b1254
     0.83%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14>
     0.79%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b5244
     0.71%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b1270
     0.71%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b01bc
     0.67%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b2248
     0.67%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b42e0
     0.66%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b21f8
     0.63%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b1224
     0.59%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b4264
     0.55%  sqgi     sqgi                          [.] SQJitWriteLog::Contains
     0.51%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     0.51%  sqgi     [JIT] tid 495271              [.] 0x0000ffff817b01a4
     0.51%  sqgi     libm.so.6                     [.] __atan2_finite@GLIBC_2.17


#
# (Cannot load tips.txt file, please install perf!)
#
