# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 6845868294
#
# Overhead  Command  Shared Object          Symbol                                     
# ........  .......  .....................  ...........................................
#
    51.30%  sqgi     sqgi                   [.] SQVM::Execute
     7.11%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14>
     5.45%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9>
     2.86%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     2.72%  sqgi     sqgi                   [.] sqjit_try_execute_current
     2.46%  sqgi     sqgi                   [.] SQTable::Get
     2.39%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     2.12%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13>
     1.53%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.36%  sqgi     sqgi                   [.] SQJitWriteLog::~SQJitWriteLog
     1.20%  sqgi     sqgi                   [.] SQVM::CMP_OP
     1.18%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     0.92%  sqgi     sqgi                   [.] SQVM::Return
     0.86%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.86%  sqgi     sqgi                   [.] SQVM::ObjCmp
     0.86%  sqgi     sqgi                   [.] sqjit_a64_helper_array_set_float_logged
     0.80%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     0.73%  sqgi     sqgi                   [.] SQVM::StartCall
     0.60%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     0.60%  sqgi     sqgi                   [.] sqjit_on_function_enter
     0.58%  sqgi     sqgi                   [.] SQJitWriteLog::SQJitWriteLog
     0.53%  sqgi     sqgi                   [.] SQObjectPtr::operator=
     0.52%  sqgi     sqgi                   [.] SQVM::EnterFrame


#
# (Cannot load tips.txt file, please install perf!)
#
