# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11052326869
#
# Overhead  Command  Shared Object                 Symbol                                  
# ........  .......  ............................  ........................................
#
    32.34%  sqgi     sqgi                          [.] SQVM::Execute
     8.80%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     8.60%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13>
     7.98%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9>
     6.40%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14>
     5.22%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)1>
     3.73%  sqgi     sqgi                          [.] sqjit_try_execute_current
     2.51%  sqgi     sqgi                          [.] SQJitWriteLog::~SQJitWriteLog
     1.89%  sqgi     sqgi                          [.] SQVM::StartCall
     1.89%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.73%  sqgi     sqgi                          [.] SQVM::Return
     1.40%  sqgi     sqgi                          [.] SQJitWriteLog::SQJitWriteLog
     1.40%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     1.40%  sqgi     sqgi                          [.] SQVM::CMP_OP
     1.40%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.22%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     1.07%  sqgi     sqgi                          [.] sqjit_on_function_enter
     0.91%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)23>
     0.86%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.82%  sqgi     sqgi                          [.] sqjit_context
     0.70%  sqgi     sqgi                          [.] SQObjectPtr::operator=
     0.66%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     0.62%  sqgi     sqgi                          [.] SQVM::EnterFrame
     0.58%  sqgi     sqgi                          [.] sqjit_native_call_fits_stack
     0.54%  sqgi     sqgi                          [.] sqjit_native_precheck


#
# (Cannot load tips.txt file, please install perf!)
#
