# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 12433866346
#
# Overhead  Command  Shared Object                 Symbol                                  
# ........  .......  ............................  ........................................
#
    23.19%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9>
    16.13%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13>
    12.76%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14>
    10.77%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     6.27%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)17>
     5.26%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)1>
     3.21%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4>
     3.03%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)39>
     2.12%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.87%  sqgi     sqgi                          [.] SQVM::ARITH_OP
     1.83%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)29>
     1.76%  sqgi     sqgi                          [.] SQVM::CMP_OP
     1.28%  sqgi     [JIT] tid 495481              [.] 0x0000ffffb4f29904
     0.73%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)2>


#
# (Cannot load tips.txt file, please install perf!)
#
