# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 390  of event 'cycles:u'
# Event count (approx.): 1677068269
#
# Overhead  Command  Shared Object               Symbol                                                
# ........  .......  ..........................  ......................................................
#
    22.50%  sqgi     sqgi                        [.] SQVM::Execute
     7.04%  sqgi     sqgi                        [.] SQJitWriteLog::RecordMember
     4.61%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)13>
     4.56%  sqgi     sqgi                        [.] SQJitWriteLog::CanRelease
     4.07%  sqgi     sqgi                        [.] sqjit_a64_helper_member_set_reference_logged
     3.26%  sqgi     sqgi                        [.] sqjit_try_execute_current
     3.25%  sqgi     sqgi                        [.] SQVM::Return
     3.25%  sqgi     sqgi                        [.] sqjit_a64_helper_member_set_integer_logged
     2.98%  sqgi     sqgi                        [.] sqjit_try_execute_closure
     2.71%  sqgi     sqgi                        [.] SQJitWriteLog::~SQJitWriteLog
     2.44%  sqgi     sqgi                        [.] sqjit_a64_resolve_root_store_slot
     2.24%  sqgi     [JIT] tid 495434            [.] 0x0000ffff8bfbb210
     2.17%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)1>
     2.16%  sqgi     sqgi                        [.] sqjit_a64_helper_member_closure_guard
     1.90%  sqgi     sqgi                        [.] SQVM::CMP_OP
     1.90%  sqgi     sqgi                        [.] SQVM::StartCall
     1.90%  sqgi     sqgi                        [.] sqjit_try_execute_current_loop
     1.90%  sqgi     [JIT] tid 495434            [.] 0x0000ffff8bfb918c
     1.79%  sqgi     sqgi                        [.] sqjit_a64_helper_instance_field_set_integer_logged
     1.63%  sqgi     sqgi                        [.] SQVM::ObjCmp
     1.42%  sqgi     sqgi                        [.] sqjit_a64_borrow_member_ptr_value
     1.25%  sqgi     sqgi                        [.] sqjit_a64_write_log_record_member
     1.09%  sqgi     sqgi                        [.] sqjit_on_function_enter
     1.09%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)23>
     1.08%  sqgi     sqgi                        [.] SQJitWriteLog::SQJitWriteLog
     1.08%  sqgi     sqgi                        [.] sqjit_context
     1.08%  sqgi     sqgi                        [.] sqjit_loop_backoff_active
     1.06%  sqgi     sqgi                        [.] sqjit_write_log_ensure
     0.81%  sqgi     sqgi                        [.] sqjit_proto_backoff_active
     0.81%  sqgi     sqgi                        [.] SQVM::LeaveFrame
     0.81%  sqgi     [JIT] tid 495434            [.] 0x0000ffff8bfb81bc
     0.81%  sqgi     sqgi                        [.] sqjit_native_precheck
     0.81%  sqgi     [JIT] tid 495434            [.] 0x0000ffff8bfb8220
     0.54%  sqgi     [JIT] tid 495434            [.] 0x0000ffff8bfb8190


#
# (Cannot load tips.txt file, please install perf!)
#
