# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9697928391
#
# Overhead  Command  Shared Object            Symbol                           
# ........  .......  .......................  .................................
#
     2.03%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c676244
     1.89%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d42a0
     1.75%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d3510
     1.56%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d3398
     1.51%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d3688
     1.51%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d22b4
     1.46%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d380c
     1.37%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d3744
     1.37%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c676264
     1.37%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d22a0
     1.37%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d22e0
     1.32%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d11f0
     1.28%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d3460
     1.27%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d2240
     1.27%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d1250
     1.23%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d35d8
     1.23%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d35cc
     1.13%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d38c8
     1.13%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d33a4
     1.13%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d3800
     1.13%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d351c
     1.09%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d442c
     1.04%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d3454
     0.99%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d3694
     0.99%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d35e0
     0.99%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d42ac
     0.95%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d51e4
     0.95%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d1224
     0.94%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d42b4
     0.94%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d38bc
     0.90%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d3750
     0.90%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6771cc
     0.87%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d51d4
     0.85%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d3730
     0.85%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d11fc
     0.80%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d34fc
     0.80%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d44ec
     0.80%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d44e0
     0.80%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c676258
     0.80%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d44f4
     0.76%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d3758
     0.76%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d38d0
     0.75%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d369c
     0.71%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d3350
     0.71%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d436c
     0.71%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d3468
     0.71%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d1240
     0.71%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d4360
     0.71%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d22cc
     0.70%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d5194
     0.66%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d1310
     0.66%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c67626c
     0.66%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d4420
     0.66%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d4434
     0.66%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d1214
     0.66%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6771f0
     0.66%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6771e8
     0.65%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d51ec
     0.61%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d4374
     0.61%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d3440
     0.61%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6761f4
     0.61%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d3578
     0.61%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c67728c
     0.57%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d33ac
     0.57%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d4290
     0.57%  sqgi     [JIT] tid 638430         [.] 0x0000ffff9c6d3388
