# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 587  of event 'cycles:u'
# Event count (approx.): 2485881640
#
# Overhead  Command  Shared Object                 Symbol                                        
# ........  .......  ............................  ..............................................
#
    14.22%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
    13.68%  sqgi     sqgi                          [.] SQVM::Execute
     6.22%  sqgi     sqgi                          [.] sqjit_a64_helper_array_get_object
     4.77%  sqgi     sqgi                          [.] SQTable::Get
     4.45%  sqgi     sqgi                          [.] sqjit_a64_root_fallback_safe
     3.82%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     3.40%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     2.65%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     2.38%  sqgi     sqgi                          [.] SQTable::Set
     1.75%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c4452dc
     1.63%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c23f3b0
     1.62%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c23f1a0
     1.57%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c23f214
     1.46%  sqgi     sqgi                          [.] SQVM::Get
     1.46%  sqgi     sqgi                          [.] SQVM::DerefInc
     1.29%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.10%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.09%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     1.08%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c23f734
     1.08%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c4451d4
     1.07%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c23f2f0
     0.92%  sqgi     sqgi                          [.] SQVM::FallBackGet
     0.92%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.91%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c23f17c
     0.90%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c445220
     0.73%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c444364
     0.73%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c4452e4
     0.73%  sqgi     sqgi                          [.] SQVM::Set
     0.66%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c445238
     0.55%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c443318
     0.55%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c4432cc
     0.55%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c23f384
     0.55%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c444264
     0.55%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c4451f4
     0.54%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c23f1f8
     0.54%  sqgi     [JIT] tid 637344              [.] 0x0000ffff9c4452c8


#
# (Cannot load tips.txt file, please install perf!)
#
