# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 246  of event 'cycles:u'
# Event count (approx.): 990729814
#
# Overhead  Command  Shared Object                 Symbol                           
# ........  .......  ............................  .................................
#
     3.67%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8ede2e0
     2.76%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf454
     2.31%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf5d8
     2.30%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf688
     2.30%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edb258
     2.29%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa90e32ac
     1.85%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf8a8
     1.84%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf800
     1.84%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf460
     1.84%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edd1fc
     1.84%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edc1e8
     1.83%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa90e32a0
     1.68%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa90e41e4
     1.38%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf354
     1.38%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf398
     1.38%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edd1f0
     1.38%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edb264
     1.38%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edd250
     1.38%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa90e3248
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf868
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf5e0
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf750
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf814
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf3a4
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf51c
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf6f0
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf350
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf388
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf744
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf8c8
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf758
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf510
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8ede2b4
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf5b4
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8ede2cc
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edb23c
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edc164
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8ede240
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edf674
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa90e34c8
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edc1cc
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa8edd224
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa90e33f8
     0.92%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa90e342c
     0.91%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa90e34b4
     0.82%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa90e41d4
     0.61%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa90e41d8
     0.61%  sqgi     [JIT] tid 637604              [.] 0x0000ffffa90e4164


#
# (Cannot load tips.txt file, please install perf!)
#
