# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9987252237
#
# Overhead  Command  Shared Object               Symbol                                           
# ........  .......  ..........................  .................................................
#
    22.09%  sqgi     sqgi                        [.] SQVM::Execute
     3.94%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbb230
     3.73%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbe244
     3.25%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbd26c
     2.42%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbc1a4
     1.97%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbb1c0
     1.87%  sqgi     sqgi                        [.] sqjit_a64_borrow_member_ptr_value
     1.78%  sqgi     sqgi                        [.] SQTable::Get
     1.74%  sqgi     sqgi                        [.] sqjit_number_conversion_guard
     1.46%  sqgi     sqgi                        [.] sqjit_a64_helper_member_native_closure_guard
     1.28%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbd258
     1.27%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbe1d4
     1.24%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbb244
     1.19%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbc1b8
     1.17%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbe230
     1.05%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbe214
     0.92%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbb274
     0.82%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbb258
     0.78%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9e1c4244
     0.78%  sqgi     libm.so.6                   [.] pow@@GLIBC_2.29
     0.77%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbe24c
     0.73%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbe1ac
     0.73%  sqgi     sqgi                        [.] SQJitWriteLog::RecordArray
     0.69%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbd174
     0.69%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbc1c0
     0.64%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9e1c32e0
     0.64%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9e1c3264
     0.59%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbd1c4
     0.55%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbd164
     0.55%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbc194
     0.55%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     0.55%  sqgi     libm.so.6                   [.] __atan2_finite@GLIBC_2.17
     0.55%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbd274
     0.55%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbe164
     0.50%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9e1c4224
     0.50%  sqgi     [JIT] tid 637314            [.] 0x0000ffff9dfbc164
     0.50%  sqgi     sqgi                        [.] SQJitWriteLog::Contains


#
# (Cannot load tips.txt file, please install perf!)
#
