# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5953027776
#
# Overhead  Command  Shared Object               Symbol                                         
# ........  .......  ..........................  ...............................................
#
    58.18%  sqgi     sqgi                        [.] SQVM::Execute
     2.99%  sqgi     sqgi                        [.] SQTable::Get
     2.89%  sqgi     sqgi                        [.] sqjit_try_execute_current_loop
     2.60%  sqgi     sqgi                        [.] sqjit_try_execute_current
     2.41%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.21%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.07%  sqgi     sqgi                        [.] SQVM::ObjCmp
     1.76%  sqgi     sqgi                        [.] SQVM::Return
     1.27%  sqgi     sqgi                        [.] SQVM::StartCall
     1.15%  sqgi     sqgi                        [.] SQVM::IsFalse
     1.07%  sqgi     sqgi                        [.] SQVM::LeaveFrame
     1.07%  sqgi     sqgi                        [.] sqjit_number_conversion_guard
     0.97%  sqgi     sqgi                        [.] SQVM::CMP_OP
     0.92%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.92%  sqgi     [JIT] tid 637445            [.] 0x0000ffff92df7684
     0.84%  sqgi     sqgi                        [.] sqjit_context
     0.61%  sqgi     sqgi                        [.] sqjit_loop_header_is_rejected
     0.54%  sqgi     sqgi                        [.] SQVM::FallBackGet
     0.54%  sqgi     sqgi                        [.] SQVM::Get


#
# (Cannot load tips.txt file, please install perf!)
#
