# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 8074894100
#
# Overhead  Command  Shared Object               Symbol                                                                                   
# ........  .......  ..........................  .........................................................................................
#
    47.36%  sqgi     sqgi                        [.] SQVM::Execute
     8.46%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     5.03%  sqgi     sqgi                        [.] sqjit_try_execute_current
     2.88%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     2.63%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.60%  sqgi     sqgi                        [.] sqjit_try_execute_closure
     2.58%  sqgi     sqgi                        [.] SQVM::Return
     2.49%  sqgi     sqgi                        [.] sqjit_try_execute_current_loop
     2.09%  sqgi     sqgi                        [.] SQVM::StartCall
     2.03%  sqgi     sqgi                        [.] SQVM::LeaveFrame
     1.24%  sqgi     sqgi                        [.] SQVM::ObjCmp
     1.24%  sqgi     sqgi                        [.] sqjit_on_function_enter
     1.19%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     1.07%  sqgi     sqgi                        [.] SQVM::IsFalse
     1.07%  sqgi     sqgi                        [.] sqjit_native_call_fits_stack
     1.02%  sqgi     sqgi                        [.] sqjit_context
     1.02%  sqgi     sqgi                        [.] SQJitWriteLog::CanReleaseInContext
     0.96%  sqgi     sqgi                        [.] SQVM::CMP_OP
     0.84%  sqgi     sqgi                        [.] sqjit_loop_header_is_rejected
     0.68%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.62%  sqgi     sqgi                        [.] SQVM::EnterFrame
     0.51%  sqgi     sqgi                        [.] sqjit_proto_backoff_active


#
# (Cannot load tips.txt file, please install perf!)
#
