# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 4560410147
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    11.50%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)39, false>
    11.36%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     3.80%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     1.68%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa276511c
     1.40%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa276436c
     1.40%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2765a80
     1.30%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2765340
     1.10%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27651e8
     1.10%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764c7c
     1.00%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa276476c
     1.00%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764498
     1.00%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27656c0
     0.90%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27644e4
     0.90%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764248
     0.90%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764258
     0.90%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27651cc
     0.90%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764750
     0.90%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2765204
     0.90%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764268
     0.80%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764ddc
     0.80%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2765124
     0.80%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764b90
     0.80%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27651d8
     0.80%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27651d4
     0.80%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27656b8
     0.76%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27643e0
     0.70%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27653d0
     0.70%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2765350
     0.70%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27654a0
     0.70%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2765978
     0.70%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa276418c
     0.70%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2765a2c
     0.70%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764d44
     0.70%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27644f4
     0.70%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764c80
     0.60%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27648ec
     0.60%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2765ad4
     0.60%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27649a0
     0.60%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2765188
     0.60%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764c14
     0.60%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764d3c
     0.60%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764614
     0.60%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27648dc
     0.60%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27646bc
     0.60%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764480
     0.60%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27644a8
     0.60%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764200
     0.60%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764ec8
     0.60%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27642b0
     0.59%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764330
     0.58%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764e34
     0.50%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27655e4
     0.50%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa276492c
     0.50%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2765650
     0.50%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2765224
     0.50%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa276548c
     0.50%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2765168
     0.50%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2765af4
     0.50%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27659f4
     0.50%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764c1c
     0.50%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa27655a0
     0.50%  sqgi     [JIT] tid 637515       [.] 0x0000ffffa2764958


#
# (Cannot load tips.txt file, please install perf!)
#
