# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 212  of event 'cycles:u'
# Event count (approx.): 880442188
#
# Overhead  Command  Shared Object          Symbol                                                
# ........  .......  .....................  ......................................................
#
    11.72%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
    11.39%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
    10.81%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
    10.25%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     6.73%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_reference_logged
     6.12%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     4.95%  sqgi     sqgi                   [.] sqjit_a64_helper_instance_field_set_integer_logged
     4.14%  sqgi     sqgi                   [.] sqjit_a64_resolve_root_store_slot
     2.59%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b31c0
     2.57%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b6214
     2.07%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b418c
     2.07%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b3224
     1.90%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b6254
     1.55%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b3194
     1.55%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b4280
     1.04%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b51dc
     1.04%  sqgi     sqgi                   [.] SQJitWriteLog::OwnerBucket
     1.04%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b5228
     1.03%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b51b0
     0.85%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b5200
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b5198
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b51b4
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b515c
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b61f0
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b41bc
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b4240
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b5248
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b4184
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b6130
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b320c
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b41e0
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b41ac
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b3178
     0.52%  sqgi     libc.so.6              [.] __vfprintf_internal
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b41a0
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b4234
     0.52%  sqgi     sqgi                   [.] SQStringTable::Remove
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b425c
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b3140
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b411c
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b5130
     0.52%  sqgi     [JIT] tid 637386       [.] 0x0000ffffaa8b42a0


#
# (Cannot load tips.txt file, please install perf!)
#
