# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:u'
# Event count (approx.): 19909952085
#
# Overhead  Command  Shared Object            Symbol                                          
# ........  .......  .......................  ................................................
#
    17.69%  sqgi     sqgi                     [.] SQVM::Execute
     9.75%  sqgi     sqgi                     [.] SQJitWriteLog::CanRelease
     7.66%  sqgi     sqgi                     [.] SQJitWriteLog::PublishStackWrite
     6.67%  sqgi     sqgi                     [.] SQJitWriteLog::RecordStackSlot
     6.18%  sqgi     sqgi                     [.] SQJitWriteLog::RetainValue
     6.13%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_reference_logged
     5.68%  sqgi     sqgi                     [.] SQJitWriteLog::~SQJitWriteLog
     3.60%  sqgi     sqgi                     [.] sqjit_a64_helper_publish_stack_write
     3.40%  sqgi     sqgi                     [.] SQJitWriteLog::AppendValue
     3.38%  sqgi     sqgi                     [.] SQJitWriteLog::RecordMember
     2.14%  sqgi     sqgi                     [.] sqjit_a64_helper_table_get_array_ptr
     1.94%  sqgi     sqgi                     [.] SQJitWriteLog::ReleaseEntry
     1.71%  sqgi     sqgi                     [.] SQJitWriteLog::Append
     1.58%  sqgi     sqgi                     [.] sqjit_try_execute_closure
     1.50%  sqgi     sqgi                     [.] SQJitWriteLog::Index
     1.49%  sqgi     sqgi                     [.] sqjit_write_log_ensure
     1.29%  sqgi     sqgi                     [.] SQTable::Get
     1.19%  sqgi     sqgi                     [.] sqjit_try_execute_current
     1.17%  sqgi     sqgi                     [.] SQJitWriteLog::FinishStackWrite
     0.90%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_integer_logged
     0.88%  sqgi     sqgi                     [.] SQJitWriteLog::ReleaseValue
     0.88%  sqgi     sqgi                     [.] sqjit_try_execute_current_loop
     0.65%  sqgi     sqgi                     [.] sqjit_write_log_release
     0.59%  sqgi     sqgi                     [.] SQVM::IsFalse
     0.59%  sqgi     sqgi                     [.] SQVM::StartCall
     0.56%  sqgi     sqgi                     [.] SQJitWriteLog::SQJitWriteLog
     0.56%  sqgi     sqgi                     [.] SQVM::LeaveFrame


#
# (Cannot load tips.txt file, please install perf!)
#
