# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:u'
# Event count (approx.): 25607361916
#
# Overhead  Command  Shared Object          Symbol                                           
# ........  .......  .....................  .................................................
#
    21.30%  sqgi     sqgi                   [.] SQJitWriteLog::RecordStackSlot
    16.21%  sqgi     sqgi                   [.] SQJitWriteLog::RetainValue
     9.60%  sqgi     sqgi                   [.] SQJitWriteLog::PublishStackWrite
     9.08%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     5.49%  sqgi     sqgi                   [.] sqjit_a64_helper_publish_stack_write
     4.33%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
     2.96%  sqgi     sqgi                   [.] SQJitWriteLog::FinishStackWrite
     2.86%  sqgi     sqgi                   [.] SQTable::Get
     2.70%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     2.51%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_float_logged
     2.32%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
     2.26%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_reference_logged
     2.07%  sqgi     sqgi                   [.] sqjit_a64_helper_table_get_array_ptr
     1.60%  sqgi     sqgi                   [.] sqjit_a64_helper_table_get_float
     1.14%  sqgi     sqgi                   [.] sqjit_a64_helper_finish_stack_write
     1.05%  sqgi     sqgi                   [.] SQJitWriteLog::Contains
     0.91%  sqgi     sqgi                   [.] SQJitWriteLog::RecordArray
     0.86%  sqgi     [JIT] tid 457688       [.] 0x0000ffff9a054608
     0.70%  sqgi     sqgi                   [.] sqjit_a64_helper_table_get_integer
     0.56%  sqgi     [JIT] tid 457688       [.] 0x0000ffff9a0542c8
     0.51%  sqgi     sqgi                   [.] sqjit_a64_helper_array_ptr_set_integer_logged


#
# (Cannot load tips.txt file, please install perf!)
#
