# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 589  of event 'cycles:u'
# Event count (approx.): 2508962420
#
# Overhead  Command  Shared Object          Symbol                                        
# ........  .......  .....................  ..............................................
#
    13.90%  sqgi     sqgi                   [.] SQVM::Execute
    13.54%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
     5.63%  sqgi     sqgi                   [.] SQTable::Get
     4.76%  sqgi     sqgi                   [.] sqjit_a64_helper_array_get_object
     4.76%  sqgi     sqgi                   [.] sqjit_a64_root_fallback_safe
     4.66%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     4.29%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
     3.30%  sqgi     [JIT] tid 627715       [.] 0x0000ffffa4cde214
     2.51%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     1.81%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     1.77%  sqgi     [JIT] tid 627715       [.] 0x0000ffffa4cde1a0
     1.57%  sqgi     [JIT] tid 627715       [.] 0x0000ffffa4cde2f0
     1.45%  sqgi     sqgi                   [.] SQVM::FallBackGet
     1.27%  sqgi     sqgi                   [.] SQVM::Get
     1.27%  sqgi     sqgi                   [.] SQVM::DerefInc
     1.24%  sqgi     [JIT] tid 627715       [.] 0x0000ffffa4cde3b0
     1.09%  sqgi     sqgi                   [.] SQTable::Set
     1.09%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     1.01%  sqgi     [JIT] tid 627715       [.] 0x0000ffffa4ee42b0
     0.91%  sqgi     sqgi                   [.] SQVM::ObjCmp
     0.90%  sqgi     sqgi                   [.] SQJitWriteLog::Bucket
     0.89%  sqgi     [JIT] tid 627715       [.] 0x0000ffffa4cde65c
     0.73%  sqgi     [JIT] tid 627715       [.] 0x0000ffffa4cdf324
     0.73%  sqgi     sqgi                   [.] SQVM::Set
     0.73%  sqgi     [JIT] tid 627715       [.] 0x0000ffffa4ee42c8
     0.72%  sqgi     [JIT] tid 627715       [.] 0x0000ffffa4cde734
     0.71%  sqgi     [JIT] tid 627715       [.] 0x0000ffffa4ee4238
     0.68%  sqgi     [JIT] tid 627715       [.] 0x0000ffffa4cde1f8
     0.68%  sqgi     [JIT] tid 627715       [.] 0x0000ffffa4ee41d4
     0.55%  sqgi     libc.so.6              [.] memcmp
     0.54%  sqgi     [JIT] tid 627715       [.] 0x0000ffffa4ee3264
     0.54%  sqgi     [JIT] tid 627715       [.] 0x0000ffffa4ee42dc
     0.54%  sqgi     [JIT] tid 627715       [.] 0x0000ffffa4cdd4d4
     0.54%  sqgi     sqgi                   [.] SQVM::ARITH_OP
     0.51%  sqgi     [JIT] tid 627715       [.] 0x0000ffffa4ee4204


#
# (Cannot load tips.txt file, please install perf!)
#
