# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 233  of event 'cycles:u'
# Event count (approx.): 991352494
#
# Overhead  Command  Shared Object                 Symbol                       
# ........  .......  ............................  .............................
#
     2.76%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe480c
     2.76%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe4744
     2.30%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe4460
     2.30%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90ddd244
     2.29%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe32e0
     1.84%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe4398
     1.84%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe47ac
     1.84%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe4410
     1.84%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe52b4
     1.84%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe43ac
     1.84%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90dde28c
     1.38%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe4814
     1.38%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe45e0
     1.38%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe43a4
     1.38%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe4758
     1.38%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe4694
     1.38%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90ddd1f4
     1.38%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90ddd258
     1.38%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90ddf1f0
     1.37%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe52a0
     1.36%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe5248
     1.05%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe61e4
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe4730
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe4524
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe434c
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe45cc
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe4454
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe4510
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe4468
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe469c
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe48c4
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe4750
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe44fc
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe32b4
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe5278
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe45b8
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe5334
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe4350
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe4898
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe32a0
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe54e8
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe451c
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe525c
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90ddf310
     0.92%  sqgi     sqgi                          [.] native_sqrt
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe3240
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90ddf214
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe32cc
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe4688
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90ddf14c
     0.92%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90dde1f8
     0.91%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe54ec
     0.91%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90ddf240
     0.91%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90ddf250
     0.91%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe54f4
     0.91%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe52ac
     0.84%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe61d0
     0.76%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe6164
     0.71%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe6194
     0.68%  sqgi     [JIT] tid 627919              [.] 0x0000ffff90fe61ec


#
# (Cannot load tips.txt file, please install perf!)
#
