# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9935962822
#
# Overhead  Command  Shared Object               Symbol                                           
# ........  .......  ..........................  .................................................
#
    21.88%  sqgi     sqgi                        [.] SQVM::Execute
     3.50%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b5244
     2.94%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa77af230
     2.76%  sqgi     sqgi                        [.] SQTable::Get
     2.39%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b31a4
     2.30%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa77af1c0
     1.98%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b426c
     1.93%  sqgi     sqgi                        [.] sqjit_number_conversion_guard
     1.79%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b51d4
     1.68%  sqgi     sqgi                        [.] sqjit_a64_borrow_member_ptr_value
     1.38%  sqgi     libm.so.6                   [.] pow@@GLIBC_2.29
     1.29%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b31b8
     1.24%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa77af244
     1.19%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b5230
     1.06%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa77af258
     1.06%  sqgi     sqgi                        [.] sqjit_a64_helper_member_native_closure_guard
     1.06%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b524c
     1.01%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa77af274
     0.95%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b51fc
     0.92%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b423c
     0.92%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b4174
     0.92%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b4258
     0.82%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b5214
     0.74%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b4228
     0.74%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b4164
     0.74%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b4274
     0.74%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b31c0
     0.73%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b7264
     0.69%  sqgi     sqgi                        [.] SQVM::Get
     0.69%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b72e0
     0.63%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b5164
     0.60%  sqgi     sqgi                        [.] SQJitWriteLog::CanRelease
     0.55%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     0.55%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b3164
     0.55%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa79b8244
     0.54%  sqgi     sqgi                        [.] SQJitWriteLog::RecordArray
     0.51%  sqgi     [JIT] tid 627626            [.] 0x0000ffffa77af1bc
     0.51%  sqgi     sqgi                        [.] sqjit_try_execute_current
     0.51%  sqgi     sqgi                        [.] SQJitWriteLog::Contains


#
# (Cannot load tips.txt file, please install perf!)
#
