# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5972319152
#
# Overhead  Command  Shared Object               Symbol                                         
# ........  .......  ..........................  ...............................................
#
    59.86%  sqgi     sqgi                        [.] SQVM::Execute
     3.67%  sqgi     sqgi                        [.] SQTable::Get
     2.90%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.75%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.29%  sqgi     sqgi                        [.] sqjit_try_execute_current
     2.29%  sqgi     sqgi                        [.] sqjit_try_execute_current_loop
     1.91%  sqgi     sqgi                        [.] sqjit_number_conversion_guard
     1.76%  sqgi     sqgi                        [.] SQVM::ObjCmp
     1.45%  sqgi     sqgi                        [.] SQVM::IsFalse
     1.43%  sqgi     sqgi                        [.] SQVM::Return
     1.36%  sqgi     sqgi                        [.] SQVM::LeaveFrame
     0.99%  sqgi     sqgi                        [.] SQVM::StartCall
     0.76%  sqgi     sqgi                        [.] SQVM::CMP_OP
     0.76%  sqgi     sqgi                        [.] sqjit_a64_helper_array_set_float_logged
     0.61%  sqgi     sqgi                        [.] SQVM::FallBackGet
     0.61%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.54%  sqgi     sqgi                        [.] SQVM::Get
     0.53%  sqgi     [JIT] tid 627758            [.] 0x0000ffff9bab62e0


#
# (Cannot load tips.txt file, please install perf!)
#
