# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 8049613816
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    45.55%  sqgi     sqgi                          [.] SQVM::Execute
     8.58%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     6.12%  sqgi     sqgi                          [.] sqjit_try_execute_current
     3.46%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     2.89%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.89%  sqgi     sqgi                          [.] SQVM::Return
     2.78%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     2.03%  sqgi     sqgi                          [.] SQVM::StartCall
     1.93%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     1.93%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     1.53%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.19%  sqgi     sqgi                          [.] sqjit_on_function_enter
     1.08%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     1.02%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.99%  sqgi     sqgi                          [.] SQVM::EnterFrame
     0.96%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     0.96%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.79%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.74%  sqgi     sqgi                          [.] sqjit_proto_backoff_active
     0.62%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     0.62%  sqgi     sqgi                          [.] sqjit_native_precheck
     0.57%  sqgi     sqgi                          [.] sqjit_context
     0.51%  sqgi     sqgi                          [.] SQObjectPtr::operator=
     0.51%  sqgi     sqgi                          [.] sqjit_native_call_fits_stack


#
# (Cannot load tips.txt file, please install perf!)
#
