# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 4611357595
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    11.68%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     8.86%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     4.16%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     2.28%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786498
     1.98%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d7876c0
     1.48%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d78711c
     1.29%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d7862b0
     1.19%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d78676c
     1.19%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d787a80
     1.09%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d78618c
     1.06%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786248
     0.99%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786480
     0.99%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d7866bc
     0.99%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d7873c0
     0.97%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786494
     0.89%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d787228
     0.89%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d787a2c
     0.89%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786664
     0.89%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786c14
     0.89%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786ddc
     0.79%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d7875e4
     0.79%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786268
     0.79%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d78636c
     0.79%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d7871e8
     0.79%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786c1c
     0.79%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d7873d0
     0.79%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d787af4
     0.69%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786674
     0.69%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d787978
     0.69%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d787490
     0.69%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d787ad4
     0.69%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d787014
     0.69%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d7871cc
     0.69%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786c7c
     0.69%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d787560
     0.69%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d7870c8
     0.69%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d7863e0
     0.69%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786750
     0.69%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d7869a0
     0.59%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d787974
     0.59%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d78653c
     0.59%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d787188
     0.59%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786e34
     0.59%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d7864e4
     0.59%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d78641c
     0.59%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786d44
     0.59%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d7868dc
     0.59%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786ec8
     0.59%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d787124
     0.59%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d7871d4
     0.59%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786c08
     0.56%  sqgi     [JIT] tid 627847       [.] 0x0000ffff9d786d3c


#
# (Cannot load tips.txt file, please install perf!)
#
