# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 222  of event 'cycles:u'
# Event count (approx.): 888924430
#
# Overhead  Command  Shared Object          Symbol                                                
# ........  .......  .....................  ......................................................
#
    15.52%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
    12.71%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
    10.97%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     9.75%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
     8.22%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_reference_logged
     6.16%  sqgi     sqgi                   [.] sqjit_a64_resolve_root_store_slot
     5.09%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     4.39%  sqgi     sqgi                   [.] sqjit_a64_helper_instance_field_set_integer_logged
     3.08%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec7214
     2.06%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec5280
     2.05%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec518c
     1.08%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec7254
     1.03%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec41c0
     1.03%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     1.03%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec5240
     1.03%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec4224
     1.02%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec420c
     1.02%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec51bc
     0.96%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec724c
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec6150
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec6228
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec6220
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec7198
     0.51%  sqgi     sqgi                   [.] SQJitWriteLog::OwnerBucket
     0.51%  sqgi     sqgi                   [.] SQClass::Finalize
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec615c
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec51e0
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec4120
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec5154
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec71b0
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec417c
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec4204
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec5254
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec51ac
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec61dc
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec5184
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec715c
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec513c
     0.51%  sqgi     [JIT] tid 627736       [.] 0x0000ffff8aec61d0


#
# (Cannot load tips.txt file, please install perf!)
#
