# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 550  of event 'cycles:u'
# Event count (approx.): 2362606435
#
# Overhead  Command  Shared Object                 Symbol                                        
# ........  .......  ............................  ..............................................
#
    15.80%  sqgi     sqgi                          [.] SQVM::Execute
    13.92%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
     5.97%  sqgi     sqgi                          [.] sqjit_a64_helper_array_get_object
     5.32%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     4.80%  sqgi     sqgi                          [.] sqjit_a64_root_fallback_safe
     3.66%  sqgi     sqgi                          [.] SQTable::Get
     3.38%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     3.21%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     3.08%  sqgi     sqgi                          [.] SQVM::DerefInc
     1.74%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.73%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     1.45%  sqgi     [JIT] tid 737805              [.] 0x0000ffff98d13214
     1.35%  sqgi     sqgi                          [.] SQVM::FallBackGet
     1.15%  sqgi     sqgi                          [.] SQVM::Get
     1.11%  sqgi     [JIT] tid 737805              [.] 0x0000ffff98d162dc
     0.96%  sqgi     sqgi                          [.] SQVM::Set
     0.96%  sqgi     sqgi                          [.] SQVM::ARITH_OP
     0.95%  sqgi     [JIT] tid 737805              [.] 0x0000ffff98d162b0
     0.94%  sqgi     [JIT] tid 737805              [.] 0x0000ffff98d161f4
     0.77%  sqgi     sqgi                          [.] SQJitWriteLog::Bucket
     0.77%  sqgi     [JIT] tid 737805              [.] 0x0000ffff98d161d4
     0.77%  sqgi     [JIT] tid 737805              [.] 0x0000ffff98d1365c
     0.76%  sqgi     [JIT] tid 737805              [.] 0x0000ffff98d131a0
     0.73%  sqgi     [JIT] tid 737805              [.] 0x0000ffff98d132f0
     0.58%  sqgi     [JIT] tid 737805              [.] 0x0000ffff98d15264
     0.58%  sqgi     [JIT] tid 737805              [.] 0x0000ffff98d13734
     0.58%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.58%  sqgi     [JIT] tid 737805              [.] 0x0000ffff98d1435c
     0.57%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.57%  sqgi     [JIT] tid 737805              [.] 0x0000ffff98b0f4d4
     0.57%  sqgi     sqgi                          [.] SQTable::Set
     0.57%  sqgi     [JIT] tid 737805              [.] 0x0000ffff98d133b0


#
# (Cannot load tips.txt file, please install perf!)
#
