# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 193  of event 'cycles:u'
# Event count (approx.): 743117794
#
# Overhead  Command  Shared Object            Symbol                           
# ........  .......  .......................  .................................
#
     7.36%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3d838
     7.35%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3d4e8
     6.11%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca39164
     5.52%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3d690
     5.52%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3d414
     4.29%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3c1e4
     4.13%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3f164
     3.68%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3b198
     3.68%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3d764
     3.63%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3e244
     3.06%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3a2a0
     1.84%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3d90c
     1.84%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3c2d8
     1.81%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3e540
     1.81%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3e3ec
     1.23%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3d61c
     1.23%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3a218
     1.23%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3d508
     1.23%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3e340
     1.22%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3b1ec
     1.22%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3e414
     1.22%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3a164
     1.22%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3d5bc
     0.94%  sqgi     ld-linux-aarch64.so.1    [.] do_lookup_x
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3d858
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3d898
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3b22c
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3d6b0
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3d784
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3c194
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3b24c
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3a1e0
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3d98c
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3b32c
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3b148
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3e264
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3b348
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca39270
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3d96c
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3d568
     0.61%  sqgi     [JIT] tid 738005         [.] 0x0000ffff8ca3a264
