# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9733592793
#
# Overhead  Command  Shared Object               Symbol                                           
# ........  .......  ..........................  .................................................
#
    22.22%  sqgi     sqgi                        [.] SQVM::Execute
     9.85%  sqgi     [JIT] tid 737714            [.] 0x0000ffffbab32164
     6.42%  sqgi     [JIT] tid 737714            [.] 0x0000ffffbab31164
     4.92%  sqgi     [JIT] tid 737714            [.] 0x0000ffffbab30164
     3.37%  sqgi     [JIT] tid 737714            [.] 0x0000ffffbab2f230
     3.00%  sqgi     sqgi                        [.] SQTable::Get
     2.20%  sqgi     [JIT] tid 737714            [.] 0x0000ffffbab2f1c0
     1.69%  sqgi     sqgi                        [.] sqjit_number_conversion_guard
     1.59%  sqgi     [JIT] tid 737714            [.] 0x0000ffffbab2f244
     1.22%  sqgi     [JIT] tid 737714            [.] 0x0000ffffbab2f274
     1.03%  sqgi     [JIT] tid 737714            [.] 0x0000ffffbab2f258
     0.89%  sqgi     [JIT] tid 737714            [.] 0x0000ffffbab342e0
     0.84%  sqgi     [JIT] tid 737714            [.] 0x0000ffffbab3123c
     0.70%  sqgi     libm.so.6                   [.] pow@@GLIBC_2.29
     0.65%  sqgi     sqgi                        [.] SQJitWriteLog::RecordArray
     0.61%  sqgi     sqgi                        [.] sqjit_try_execute_current
     0.56%  sqgi     sqgi                        [.] SQJitWriteLog::Contains
     0.52%  sqgi     [JIT] tid 737714            [.] 0x0000ffffbab321e4
     0.52%  sqgi     [JIT] tid 737714            [.] 0x0000ffffbab35224
     0.51%  sqgi     [JIT] tid 737714            [.] 0x0000ffffbab35244
     0.51%  sqgi     libm.so.6                   [.] __atan2_finite@GLIBC_2.17


#
# (Cannot load tips.txt file, please install perf!)
#
