# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5347413985
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    22.78%  sqgi     sqgi                          [.] SQVM::Execute
     5.71%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     3.92%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     3.83%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     2.76%  sqgi     sqgi                          [.] sqjit_try_execute_current
     2.73%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)8, false>
     2.38%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     2.30%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     2.30%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     2.04%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)21, false>
     2.04%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     1.87%  sqgi     sqgi                          [.] SQVM::IsFalse
     1.87%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     1.62%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     1.61%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     1.53%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.36%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     1.36%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)6, false>
     1.36%  sqgi     sqgi                          [.] SQVM::CMP_OP
     1.36%  sqgi     sqgi                          [.] SQVM::Return
     1.19%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.02%  sqgi     sqgi                          [.] SQTable::Get
     0.94%  sqgi     sqgi                          [.] sqjit_a64_helper_array_set_float_logged
     0.94%  sqgi     sqgi                          [.] SQVM::StartCall
     0.84%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     0.83%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.82%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     0.77%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)15, false>
     0.77%  sqgi     sqgi                          [.] SQJitWriteLog::RecordArray
     0.60%  sqgi     sqgi                          [.] SQVM::IsEqual
     0.60%  sqgi     [JIT] tid 737889              [.] 0x0000ffff91c761b4
     0.60%  sqgi     sqgi                          [.] sqjit_on_function_enter
     0.55%  sqgi     sqgi                          [.] sqjit_context
     0.51%  sqgi     [JIT] tid 737889              [.] 0x0000ffff91c746c4
     0.51%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)2, false>
     0.51%  sqgi     [JIT] tid 737889              [.] 0x0000ffff91c742f8


#
# (Cannot load tips.txt file, please install perf!)
#
