# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 7495207529
#
# Overhead  Command  Shared Object            Symbol                                         
# ........  .......  .......................  ...............................................
#
    50.28%  sqgi     sqgi                     [.] SQVM::Execute
     5.13%  sqgi     sqgi                     [.] sqjit_try_execute_current
     3.83%  sqgi     sqgi                     [.] sqjit_try_execute_current_loop
     3.22%  sqgi     sqgi                     [.] SQVM::Return
     2.43%  sqgi     sqgi                     [.] SQVM::StartCall
     2.13%  sqgi     sqgi                     [.] SQVM::LeaveFrame
     2.07%  sqgi     sqgi                     [.] SQVM::ObjCmp
     2.05%  sqgi     sqgi                     [.] sqjit_try_execute_closure
     1.76%  sqgi     sqgi                     [.] SQVM::IsFalse
     1.74%  sqgi     sqgi                     [.] sqjit_on_function_enter
     1.46%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     1.13%  sqgi     sqgi                     [.] SQVM::EnterFrame
     1.03%  sqgi     sqgi                     [.] sqjit_native_call_fits_stack
     0.97%  sqgi     sqgi                     [.] sqjit_loop_header_is_rejected
     0.85%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.79%  sqgi     sqgi                     [.] SQVM::CMP_OP
     0.61%  sqgi     sqgi                     [.] sqjit_native_precheck
     0.55%  sqgi     [JIT] tid 737964         [.] 0x0000ffff81a7f728
     0.54%  sqgi     libc.so.6                [.] __memset_zva64


#
# (Cannot load tips.txt file, please install perf!)
#
