# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 897  of event 'cycles:u'
# Event count (approx.): 3950584195
#
# Overhead  Command  Shared Object               Symbol                                        
# ........  .......  ..........................  ..............................................
#
    12.41%  sqgi     sqgi                        [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     2.85%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d76c0
     2.65%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6498
     1.96%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d64e4
     1.85%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d7a90
     1.62%  sqgi     sqgi                        [.] SQJitWriteLog::CanReleaseInContext
     1.27%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d7a80
     1.27%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d7228
     1.27%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d7aac
     1.27%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d73c0
     1.27%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d676c
     1.15%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d73d0
     1.15%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6750
     1.04%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6ddc
     1.04%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d7124
     0.92%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d7118
     0.92%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d617c
     0.92%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6c80
     0.92%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d711c
     0.92%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d653c
     0.81%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6c7c
     0.81%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d7340
     0.81%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d69a0
     0.81%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d64f4
     0.81%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d636c
     0.81%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d66bc
     0.81%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d7168
     0.77%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d641c
     0.76%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6d68
     0.76%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d68dc
     0.69%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6c14
     0.69%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d71cc
     0.69%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d76b8
     0.69%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d692c
     0.69%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d62dc
     0.69%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d7630
     0.69%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d62b0
     0.69%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6870
     0.69%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d71e8
     0.69%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d7ab4
     0.69%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6d44
     0.69%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d7aa4
     0.69%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d7490
     0.69%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6c08
     0.69%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d71d8
     0.69%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6c1c
     0.68%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d63e0
     0.68%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d65f4
     0.68%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6958
     0.58%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d7204
     0.58%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d75e4
     0.58%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6494
     0.58%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d7978
     0.58%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6b68
     0.58%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d7610
     0.58%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d700c
     0.58%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6e88
     0.58%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6404
     0.58%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d70cc
     0.58%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d733c
     0.58%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d69b8
     0.57%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d7364
     0.56%  sqgi     [JIT] tid 737933            [.] 0x0000ffff986d6850


#
# (Cannot load tips.txt file, please install perf!)
#
